Hulk VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
SpiderMan VS DrStrange | GANADOR: SpiderMan con [92] vidas restantes
SpiderMan VS ScarletWich | GANADOR: ScarletWich con [81] vidas restantes
SpiderMan VS BlackWidow | GANADOR: BlackWidow con [100] vidas restantes
Hawkeye VS BlackWidow | GANADOR: BlackWidow con [99] vidas restantes
ScarletWich VS BlackWidow | GANADOR: ScarletWich con [100] vidas restantes
ScarletWich VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
Hulk VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
CaptainAmerica VS DrStrange | GANADOR: DrStrange con [89] vidas restantes
IronMan VS DrStrange | GANADOR: IronMan con [100] vidas restantes

GANADOR: IronMan con [100] vidas restantes
ScarletWich VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
Hawkeye VS DrStrange | GANADOR: DrStrange con [84] vidas restantes
IronMan VS DrStrange | GANADOR: DrStrange con [73] vidas restantes
Hulk VS DrStrange | GANADOR: DrStrange con [68] vidas restantes
SpiderMan VS DrStrange | GANADOR: SpiderMan con [60] vidas restantes
SpiderMan VS CaptainAmerica | GANADOR: CaptainAmerica con [56] vidas restantes
BlackWidow VS CaptainAmerica | GANADOR: BlackWidow con [100] vidas restantes

GANADOR: BlackWidow con [100] vidas restantes

Hulk VS DrStrange | GANADOR: Hulk con [100] vidas restantes
Hulk VS CaptainAmerica | GANADOR: Hulk con [85] vidas restantes
Hulk VS SpiderMan | GANADOR: Hulk con [92] vidas restantes
Hulk VS ScarletWich | GANADOR: ScarletWich con [100] vidas restantes
Hawkeye VS ScarletWich | GANADOR: Hawkeye con [100] vidas restantes
Hawkeye VS IronMan | GANADOR: Hawkeye con [94] vidas restantes
Hawkeye VS BlackWidow | GANADOR: Hawkeye con [88] vidas restantes

GANADOR: Hawkeye con [88] vidas restantes

